N,Title,Keywords,Abstract,Doi
8776,DiPALS: Diaphragm Pacing in patients with Amyotrophic Lateral Sclerosis - a randomised controlled trial,"Adult; Aged; Aged, 80 and over; Amyotrophic Lateral Sclerosis/complications; Cost-Benefit Analysis; Diaphragm; Female; Humans; Kaplan-Meier Estimate; Male; Middle Aged; Noninvasive Ventilation/methods; Quality of Life; Respiratory Insufficiency/etiology/therapy","BACKGROUND: Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease resulting in death, usually from respiratory failure, within 2-3 years of symptom onset. Non-invasive ventilation (NIV) is a treatment that when given to patients in respiratory failure leads to improved survival and quality of life. Diaphragm pacing (DP), using the NeuRx/4(®) diaphragm pacing system (DPS)™ (Synapse Biomedical, Oberlin, OH, USA), is a new technique that may offer additional or alternative benefits to patients with ALS who are in respiratory failure OBJECTIVE: The Diaphragm Pacing in patients with Amyotrophic Lateral Sclerosis (DiPALS) trial evaluated the effect of DP on survival over the study duration in patients with ALS with respiratory failure. DESIGN: The DiPALS trial was a multicentre, parallel-group, open-label, randomised controlled trial incorporating health economic analyses and a qualitative longitudinal substudy PARTICIPANTS: Eligible participants had a diagnosis of ALS (ALS laboratory-supported probable, clinically probable or clinically definite according to the World Federation of Neurology revised El Escorial criteria), had been stabilised on riluzole for 30 days, were aged ≥ 18 years and were in respiratory failure. We planned to recruit 108 patients from seven UK-based specialist ALS or respiratory centres. Allocation was performed using 1 : 1 non-deterministic minimisation. INTERVENTIONS: Participants were randomised to either standard care (NIV alone) or standard care (NIV) plus DP using the NeuRX/4 DPS. MAIN OUTCOME MEASURES: The primary outcome was overall survival, defined as the time from randomisation to death from any cause. Secondary outcomes were patient quality of life [assessed by European Quality of Life-5 Dimensions, three levels (EQ-5D-3L), Short Form questionnaire-36 items and Sleep Apnoea Quality of Life Index questionnaire]; carer quality of life (EQ-5D-3L and Caregiver Burden Inventory); cost-utility analysis and health-care resource use; tolerability and adverse events. Acceptability and attitudes to DP were assessed in a qualitative substudy. RESULTS: In total, 74 participants were randomised into the trial and analysed, 37 participants to NIV plus pacing and 37 to standard care, before the Data Monitoring and Ethics Committee advised initial suspension of recruitment (December 2013) and subsequent discontinuation of pacing (on safety grounds) in all patients (June 2014). Follow-up assessments continued until the planned end of the study in December 2014. The median survival (interquartile range) was 22.5 months (lower quartile 11.8 months; upper quartile not reached) in the NIV arm and 11.0 months (6.7 to 17.0 months) in the NIV plus pacing arm, with an adjusted hazard ratio of 2.27 (95% confidence interval 1.22 to 4.25; p = 0.01) CONCLUSIONS: Diaphragmatic pacing should not be used as a routine treatment for patients with ALS in respiratory failure. FUTURE WORK: It may be that certain population subgroups benefit from DP. We are unable to explain the mechanism behind the excess mortality in the pacing arm, something the small trial size cannot help address. Future research should investigate the mechanism by which harm or benefit occurs further. TRIAL REGISTRATION: Current Controlled Trials ISRCTN53817913. FUNDING: This project was funded by the National Institute for Health Research Health Technology Assessment programme and will be published in full in Health Technology Assessment; Vol. 20, No. 45. See the HTA programme website for further project information. Additional funding was provided by the Motor Neurone Disease Association of England, Wales and Northern Ireland",10.3310/hta20450
4218,Mapping EORTC QLQ-C30 and FACT-G onto EQ-5D-5L index for patients with cancer,Adult; Aged; Algorithms; Female; Humans; Japan; Logistic Models; Male; Middle Aged; Neoplasms/psychology; Quality of Life; Surveys and Questionnaires/standards; Cancer; EORTC QLQ-C30; EQ-5D-5L; FACT-G; Mapping; Preference-based measure,"BACKGROUND: To develop direct and indirect (response) mapping algorithms from the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire Core 30 (EORTC QLQ-C30) and the Functional Assessment of Cancer Therapy General (FACT-G) onto the EQ-5D-5L index. METHODS: We conducted the QOL-MAC study where EQ-5D-5L, EORTC QLQ-C30, and FACT-G were cross-sectionally evaluated in patients receiving drug treatment for solid tumors in Japan. We developed direct and indirect mapping algorithms using 7 regression methods Direct mapping was based on the Japanese value set. We evaluated the predictive performances based on root mean squared error (RMSE), mean absolute error, and correlation between the observed and predicted EQ-5D-5L indexes. RESULTS: Based on data from 903 and 908 patients for EORTC QLQ-C30 and FACT-G, respectively, we recommend two-part beta regression for direct mapping and ordinal logistic regression for indirect mapping for both EORTC QLQ-C30 and FACT-G Cross-validated RMSE were 0.101 in the two methods for EORTC QLQ-C30, whereas they were 0.121 in two-part beta regression and 0.120 in ordinal logistic regression for FACT-G. The mean EQ-5D-5L index and cumulative distribution function simulated from the recommended mapping algorithms generally matched with the observed ones except for very good health (both source measures) and poor health (only FACT-G). CONCLUSIONS: The developed mapping algorithms can be used to generate the EQ-5D-5L index from EORTC QLQ-C30 or FACT-G in cost-effectiveness analyses, whose predictive performance would be similar to or better than those of previous algorithms",10.1186/s12955-020-01611-w
15113,Outcome and quality of life of elderly critically ill patients: an Italian prospective observational study,"Age Factors; Aged, 80 and over; Critical Illness/epidemiology/mortality/psychology; Female; Humans; Intensive Care Units/statistics & numerical data; Italy/epidemiology; Kaplan-Meier Estimate; Logistic Models; Male; Prospective Studies; Quality of Life; Surgical Procedures, Operative/mortality/psychology/statistics & numerical data; Treatment Outcome","The demand of critical care admissions to intensive care unit (ICU) is projected to rise in the next decade. The aim of this study was to evaluate short and long-term mortality and quality of life (QoL) of elderly patients (80 years and older) admitted to two ICUs for medical conditions, abdominal surgery (planned and unplanned) and orthopedic surgery for hip fractures, over a 6-year period Three months and one year after ICU discharge, patients or family members were contacted by telephone to obtain follow-up information using the EuroQoL questionnaire. The data were compared with an age-matched of the Italian population. Two hundred eighty-eight patients were included in the study. ICU mortality of medical (14.8%) and unplanned surgical patients (26.4%) was higher than that of planned surgical (5.0%) and orthopedic patients (2.5%), as was hospital mortality (27.7% vs. 50.0% vs. 5.0% vs. 14.3%). Three months and 12 months mortality rates after ICU discharge were 40.7% and 61.1% in medical patients, 70.5% and 76.4% in unplanned surgical patients, 20.0% and 30.0% in planned surgical patients, 36.2% and 46.2% in orthopedic patients. QoL measures revealed that, one year after ICU discharge, medical and orthopedic patients had significantly more severe problems vis-à-vis mobility, self-care and activity than abdominal surgical patients and control population. Type of admission was the independent risk factor associated with ICU and long-term mortality, whereas age 90 year and older was associated with long-term mortality. Orthopedic surgery for hip fractures seems to influence QoL similar to medical diseases",10.1016/j.archger.2011.11.013
9526,A platform in the use of medicines to treat chronic hepatitis C (PLATINUM C): protocol for a prospective treatment registry of real-world outcomes for hepatitis C,"Antiviral Agents/therapeutic use; Australia/epidemiology; Genotype; Hepacivirus/genetics; Hepatitis C, Chronic/drug therapy/epidemiology/virology; Humans; Life Style; Liver Cirrhosis/diagnosis; Polymerase Chain Reaction; Prospective Studies; RNA, Viral/blood/genetics; Registries; Sustained Virologic Response; Direct-acting antiviral treatment; Hepatitis C; Platform trial; Treatment registry","BACKGROUND: Safe, highly curative, short course, direct acting antiviral (DAA) therapies are now available to treat chronic hepatitis C. DAA therapy is freely available to all adults chronically infected with the hepatitis C virus (HCV) in Australia. If left untreated, hepatitis C may lead to progressive hepatic fibrosis, cirrhosis and hepatocellular carcinoma. Australia is committed to eliminating hepatitis as a public health threat by 2030 set by the World Health Organization. However, since the introduction of funded DAA treatment, uptake has been suboptimal. Australia needs improved strategies for testing, treatment uptake and treatment completion to address the persisting hepatitis C public health problem. PLATINUM C is a HCV treatment registry and research platform for assessing the comparative effectiveness of alternative interventions for achieving virological cure. METHODS: PLATINUM C will prospectively enrol people with active HCV infection confirmed by recent detection of HCV ribonucleic acid (RNA) in blood. Those enrolled will agree to allow standardised collection of demographic, lifestyle, treatment, virological outcome and other relevant clinical data to better inform the future management of HCV infection. The primary outcome is virological cure evidenced by sustained virological response (SVR), which is defined as a negative HCV PCR result 6 to 18 months after initial prescription of DAA therapy and no less than 12 weeks after the completion of treatment. Study participants will be invited to opt-in to medication adherence monitoring and quality of life assessments using validated self-reported instruments (EQ-5D-5L). DISCUSSION: PLATINUM C is a treatment registry and platform for nesting pragmatic trials. Data collected will inform the design, development and implementation of pragmatic trials. The digital infrastructure, study procedures and governing systems established by the registry will allow PLATINUM C to support a wider research platform in the management of hepatitis C in primary care. TRIAL REGISTRATION: The trial is registered with the Australia and New Zealand Clinical Trials Register ( ACTRN12619000023156 ). Date of registration: 10/01/2019",10.1186/s12879-020-05531-4
1110,Defibrillator shocks and their effect on objective and subjective patient outcomes: Results of the PainFree SST clinical trial,"Accelerometry; Aged; Anxiety/etiology/psychology; Arrhythmias, Cardiac/physiopathology/psychology/therapy; Defibrillators, Implantable/adverse effects; Electrocardiography; Exercise/physiology; Female; Follow-Up Studies; Humans; Male; Middle Aged; Pain/etiology/psychology; Prospective Studies; Quality of Life; Surveys and Questionnaires; Time Factors; Treatment Outcome; Accelerometer; ICD; Patient activity; Quality of life; Shock anxiety","BACKGROUND: The effect of implantable cardioverter-defibrillator (ICD) shock on device-measured activity and patient-reported outcomes is unknown. OBJECTIVE: The purpose of this study was to analyze the acute and long-term effects of ICD shock on objective behavioral data (ie, device-based physical activity) and subjective patient-reported outcomes (eg, quality of life and shock anxiety). METHODS: The PainFree Smart Shock Technology (SST) clinical trial included 2770 patients with a single- or dual-chamber ICD or cardiac resynchronization therapy - defibrillator device who were followed for 22 ± 9 months. Participants completed measures of quality of life (EuroQol-5D [EQ-5D] questionnaire) and shock anxiety (Florida Shock Anxiety Scale) at baseline, biannual visits, and monthly for 6 months after an ICD shock. Daily physical activity data were obtained from a built-in device accelerometer. RESULTS: The average daily activity was 185.3 ± 119.4 min/d. Activity was significantly reduced after an ICD shock (P < .0001) and recovered to a normal level after ∼90 days. An ICD shock was also associated with decreased quality of life (EQ5-D health score) and increased EQ-5D anxiety scores, but it did not affect mobility, self-care, activity, or pain. Similarly, shock anxiety (Florida Shock Anxiety Scale) increased in shocked patients and remained significantly elevated at 24 months, regardless of appropriate or inappropriate shock delivery. CONCLUSION: ICD shocks have a long-lasting adverse effect on both objective, device-measured physical activity and subjective patient-reported outcomes of quality of life and shock anxiety. Successful management of patients with an ICD requires attention to clinically relevant behavioral and psychological outcomes to expedite recovery and return to activities of daily living",10.1016/j.hrthm.2017.12.026
10246,Accurately measuring the quality and effectiveness of lumbar surgery in registry efforts: determining the most valid and responsive instruments,Adult; Aged; Cohort Studies; Female; Humans; Lumbar Vertebrae/surgery; Male; Middle Aged; Patient Satisfaction; Prospective Studies; Registries; Spinal Fusion/adverse effects/psychology; Spondylolisthesis/surgery; Surveys and Questionnaires; Treatment Outcome; Disability; Effectiveness of spine surgery; Lumbar spine surgery; Patient reported outcome instruments; Responsiveness; Validity,"BACKGROUND CONTEXT: Prospective registries have emerged as a feasible way to capture real-world care across large patient populations. However, the proven validity of more robust and cumbersome patient-reported outcomes instruments (PROis) must be balanced with what is feasible to apply in large-scale registry efforts. PURPOSE: To determine the relative validity and responsiveness of common PROis in accurately determining effectiveness of lumbar fusion for degenerative lumbar spondylolisthesis in registry efforts. STUDY DESIGN: Prospective cohort study. PATIENT SAMPLE: Fifty-eight patients undergoing transforaminal lumbar interbody fusion (TLIF) for degenerative lumbar spondylolisthesis OUTCOME MEASURES: Patient-reported outcome measures for pain (numeric rating scale for back and leg pain [NRS-BP, NRS-LP]), disability (Oswestry Disability Index [ODI]), general health (Short Form [SF]-12), quality of life (QOL) (EuroQol five dimensions [EQ-5D]), and depression (Zung depression scale [ZDS]) were assessed METHODS: Fifty-eight patients undergoing primary TLIF for lumbar spondylolisthesis were entered into an institutional registry and prospectively followed for 2 years. Baseline and 2-year patient-reported outcomes were assessed. To assess the validity of PROis to discriminate between effective and noneffective improvements, receiver operating characteristic curves were generated for each outcomes instrument. An area under the curve (AUC) of ≥0.80 was considered an accurate discriminator. The difference between standardized response means (SRMs) in patients reporting meaningful improvement versus not was calculated to determine the relative responsiveness of each instrument. RESULTS: For pain and disability, ODI had AUC=0.94, suggesting it as an accurate discriminator of meaningful improvement. Oswestry Disability Index was most responsive to postoperative improvement (SRM difference: 2.18), followed by NRS-BP and NRS-LP. For general health and QOL, SF-12 physical component score (AUC: 0.90), ZDS (AUC: 0.89), and SF-12 mental component score (AUC: 0.85) were all accurate discriminators of meaningful improvement, however, EQ-5D was most accurate (AUC: 0.97). EuroQol five dimensions was also most responsive (SRM difference: 2.83). CONCLUSIONS: For pain and disability, ODI was the most valid and responsive measure of effectiveness of lumbar fusion. Numeric rating scale-BP and NRS-LP should not be used as substitutes for ODI in measuring effectiveness of care in registry efforts. For health-related QOL, EQ-5D was the most valid and responsive measure of improvement, however, SF-12 and ZDS are valid alternatives with less responsiveness",10.1016/j.spinee.2014.04.023
10310,Patients' health-related quality of life and utilities associated with different stages of amyotrophic lateral sclerosis,Activities of Daily Living; Adult; Aged; Amyotrophic Lateral Sclerosis/classification/rehabilitation; Choice Behavior; Cohort Studies; Cross-Sectional Studies; Disease Progression; Female; Health Status; Health Status Indicators; Humans; Interviews as Topic; Male; Middle Aged; Predictive Value of Tests; Quality of Life; Self Disclosure; Severity of Illness Index; Surveys and Questionnaires; United Kingdom,"OBJECTIVES: Amyotrophic lateral sclerosis (ALS) is a devastating disease that has serious consequences in terms of impairments and disabilities, which are expected to impact on health-related quality of life (HRQL). The aim of the present study was to assess self-reported health status and HRQL, as well as patients' own valuation of their present health state in a sample of patients with different levels of severity of ALS. METHODS: Structured interviews were conducted with 77 patients with different levels of disease severity. Patients completed a disease-specific health status measure (ALSAQ-40), a generic health status measure (EuroQol EQ-5D), visual analogue scale (VAS) rating of current health and a standard gamble (SG) exercise to provide health state utilities for their own health state. RESULTS: The results from the ALSAQ-40 and EQ-5D descriptive system indicate that patients' HRQL decreases systematically with increasing severity of disease. Patients' mean VAS rating of their own health ranged from 0.74 for stage 1 (early) disease severity, to 0.37 for stage 4 (late stage) disease severity Utilities elicited via SG were systematically higher than VAS scores and ranged from a mean of 0.79 for stage 1 disease severity to a mean of 0.45 for stage 4 disease severity",10.1016/s0022-510x(01)00616-5
634,Quality of Life in Adults with Metabolic Dysfunction-Associated Fatty Liver Disease,Adult; Humans; Liver Diseases; Nutrition Surveys; Odds Ratio; Quality of Life; Risk; metabolic dysfunction-associated fatty liver disease; population-based analysis; quality of life; stress,"The aims of this study were as follows: to investigate the association between metabolic dysfunction-associated fatty liver disease (MAFLD) and health-related quality of life (HRQoL), to evaluate whether stress perception and mental health among patients with MAFLD affect HRQoL, and to identify the underrated burden on MAFLD patients. Nationwide data from the 5th Korean National Health and Nutrition Examination Survey (KNHANES V, 2010 to 2012) were used. MAFLD was defined by a fatty liver index (FLI) of ≥60, and the EuroQol-5D (EQ-5D) was used to assess HRQoL. Logistic regression analysis and odds ratios (ORs) were used to determine the associations of MAFLD with stress, mental health, and HRQoL. Previous suicidal impulse was not found to be significantly associated with HRQoL. The risk of MAFLD increased 1.265-fold with an increase in stress levels based on the stress perception rate (confidence index (CI): 1.046-1.530; p < 0.05), while it increased 1.091-fold with a 1-point decrease in the EQ-5D score (CI: 1.019-1.169; p < 0.05). HRQoL impairment and stress levels are associated with MAFLD. It is important to evaluate stress levels among MAFLD patients and implement stress management and HRQoL improvement strategies",10.3390/ijerph182413145
5216,Impact of carbidopa-levodopa enteral suspension on quality of life and activities of daily living in patients with advanced Parkinson's disease: Results from a pooled meta-analysis,"Activities of Daily Living; Antiparkinson Agents/administration & dosage; Carbidopa/administration & dosage; Drug Combinations; Gels; Humans; Infusion Pumps, Implantable; Levodopa/administration & dosage; Parkinson Disease/drug therapy; Quality of Life; Carbidopa/levodopa; Meta-analysis; Motor symptoms; Parkinson's disease; Quality of life","INTRODUCTION: To estimate the impact of carbidopa/levodopa enteral suspension (CLES) on key patient-centered outcomes in patients with advanced Parkinson's disease (PD). METHODS: A comprehensive literature review identified relevant studies, from which data were meta-analyzed over 3-month intervals up to 24 months. Patient-centered outcomes of interest included mean (95% CI) changes from baseline (Δ) in quality of life (QoL), measured using PD-specific (PDQ-8, PDQ-39) and generic (EQ-5D) instruments; activities of daily living (ADL), measured in On and Off states using UPDRS Part II; and motor symptoms (i.e., Off time/day and motor examination [measured in On and Off states using UPDRS Part III]). RESULTS: The pooled meta-analysis included data from 26 studies evaluating 1556 patients on CLES. At 3 months, all outcomes showed significant improvement: QoL (ΔPDQ-39 = -10.26 [-11.54, -8.97], ΔEQ-5D(VAS) = 15.42 [12.58, 18.26]); ADL (ΔUPDRS II(ON) = -4.32 [-5.63, -3.01]); motor symptoms (ΔOff time hours/day = -3.48 [-4.15, -2.82], ΔUPDRS III(ON) = -6.20 [-9.88, -2.51]). At 24 months, there were statistically significant mean improvements in QoL (ΔPDQ-39 = -7.74 [-12.40, -3.07], ΔEQ-5D(VAS) = 11.18 [6.90, 15.45]) and ADL (ΔUPDRS II(OFF) = -3.88 [-5.34, -2.42]), and Off time (-4.21 [-5.16, -3.26] hours/day). CONCLUSIONS: Impact of CLES on significantly reducing Off time/day was observed to be rapid and durable (i.e., remained consistent across 24 months). Most QoL and ADL measures showed a consistent pattern of improvement with initiation of treatment and remained significantly improved from baseline at 24 months",10.1016/j.parkreldis.2021.03.009
2131,Health-related quality of life and mental well-being of healthy and diseased persons in 8 countries: Does stringency of government response against early COVID-19 matter?,COVID-19; EQ-5D-5L; HRQoL; Stringency index; WHO-5; Well-being,"OBJECTIVES: Our study aimed to (1) assess health-related quality of life (HRQoL) and mental well-being of healthy and diseased persons in the general population during the early stage of the COVID-19 pandemic and (2) examine the relationship between HRQoL and mental well-being and individual characteristics and government response against COVID-19, as measured by the stringency index. METHODS: A web-based survey was administered to a cohort of persons from the general population of eight countries: Greece, Italy, the Netherlands, Russia, South Africa, Sweden, the United Kingdom (UK) and the United States of America (US) from April 22 to May 5 and May 26 to June 1, 2020. Country-level stringency indices were adopted from the COVID-19 Government Response Tracker. Primary outcomes were HRQoL, measured using the EQ-5D-5L, and mental well-being, measured using the World Health Organization-5 Well-Being (WHO-5). FINDINGS: 21,354 respondents were included in the study. Diseased respondents had lower EQ-5D-5L and WHO-5 scores compared to healthy respondents. Younger respondents had lower WHO-5 scores than older respondents. The stringency index had a stronger association with the EQ-5D-5L and WHO-5 among diseased respondents compared to healthy respondents. Increasing stringency was associated with an increase in EQ-5D-5L scores but a decrease in the WHO-5 index. CONCLUSION: The stringency of government response is inversely related to HRQoL and mental well-being with a small positive relation with HRQoL and strong negative relation with mental well-being. The magnitude of effects differed for healthy and diseased persons and by age but was most favourable for diseased and older persons",10.1016/j.ssmph.2021.100913
10473,Mapping the 25-item National Eye Institute Visual Functioning Questionnaire (NEI VFQ-25) to EQ-5D utility scores,"Algorithms; Diabetic Retinopathy/physiopathology; Female; Health Status; Humans; Macular Edema/physiopathology; Male; Middle Aged; Models, Statistical; National Eye Institute (U.S.); Quality of Life/psychology; Randomized Controlled Trials as Topic; Sickness Impact Profile; Surveys and Questionnaires; United States; Visual Acuity/physiology","PURPOSE: To develop a mapping algorithm for the estimation of EQ-5D-based utility scores from observed 25-item National Eye Institute Visual Functioning Questionnaire (NEI VFQ-25) scores, a disease-specific, patient-reported outcome measure used in several retinal disorders to evaluate vision-specific functioning. METHODS: The dataset comprised 951 paired EQ-5D/NEI VFQ-25 observations from 344 patients in RESTORE, a 12-month, randomized, double-blind trial in individuals with visual impairment due to diabetic macular edema. EQ-5D index scores (utilities) were calculated based on the UK tariff. We evaluated 11 models using predictor sets based on the NEI VFQ-25 subscales to estimate utility as a function of NEI VFQ-25 score, based on four modeling techniques. Model performance was assessed by 10-fold cross-validation comparing root mean squared error (RMSE), mean absolute error (MAE) and correlation with EQ-5D score (Pearson and Spearman correlation coefficients). RESULTS: Mapping results were similar across all techniques and predictor sets. The reverse two-part generalized estimating equation model used fewest predictors and had the best predictive performance (RMSE 0.200, MAE 0.140). Predicted and original EQ-5D values were not strongly correlated (squared Spearman correlation coefficient, 0.34) CONCLUSIONS: Although mapping disease-specific instruments to EQ-5D utilities is a preferred method by some reimbursement bodies, finding an appropriate mapping equation is not straightforward. In this study, mapping NEI VFQ-25 scores to EQ-5D utilities provided low predictive power, independent of the modeling methodology applied, suggesting an inability of the EQ-5D to discriminate vision-related activities, and highlighting that mapping exercises may lead to inaccurate utility values that do not represent patients' preferences",10.3109/09286586.2014.888456
5451,Psychometric properties of the short version of the Freiburg Life Quality Assessment for chronic venous disease,Adult; Aged; Chronic Disease; Diagnostic Self Evaluation; Female; Humans; Male; Middle Aged; Prospective Studies; Psychometrics; Quality of Life; Self Report; Varicose Veins; Venous Insufficiency; Chronic venous disease; FLQA-VS-10; Health-related quality of life; Phlebology; Validation; Venous insufficiency,"BACKGROUND: Chronic venous disease is a frequent vascular condition International societies have recommended the use of health-related quality of life (HRQoL) instruments in the assessment of patients with vascular diseases Thus, the Freiburg Life Quality Assessment for chronic venous disease, 10-item questionnaire (FLQA-VS-10) was developed. The aim of the present study was to validate the FLQA-VS-10 in a prospective study. METHODS: We recruited 100 patients with recurrent varicosis or incomplete or complete venous insufficiency undergoing interventional vein treatment (high ligation of the great or small saphenous vein or endovenous ablation therapy). These patients completed the FLQA-VS-10 and instruments assessing convergent validation criteria at four points: preoperatively (T1), postoperatively (T2) and twice 3 years later with a 1-week interval (T3 and T4). RESULTS: The mean age was 56.0 ± 13.7 years, and 66.0% were women. The patients had presented with recurrent varicosis of the saphenofemoral junction (28.0%), recurrent varicosis of the saphenopopliteal junction (1.0%), incomplete or complete insufficiency of the great saphenous vein (69.0%), or complete insufficiency of the small saphenous vein (2.0%). The items showed few missing values. The FLQA-VS-10 global score showed no ceiling effect (patients reporting the highest possible impairments in HRQoL) but did show a floor effect (patients reporting the lowest possible impairments in HRQoL), which was highest at the postoperative assessments. The internal consistency of the global score was high at all measurement points. A convergent validity and responsiveness analysis revealed that the FLQA-VS-10 correlated in the expected direction with the convergent instruments, including the Freiburg Life Quality Assessment for venous diseases (venous disease-specific HRQoL) and the five-level EQ-5D (generic HRQoL). Data from T3 and T4 revealed high test-retest reliability (intraclass correlation, 0.92). Overall, the patients stated that the FLQA-VS-10 was comprehensible, comprehensive, and easy to complete. CONCLUSIONS: Our data suggest that the FLQA-VS-10 is a reliable, valid, responsive, and feasible HRQoL questionnaire for patients with chronic venous diseases. This questionnaire can serve as short and easy-to-use instrument to assess patient-reported outcomes in the treatment of these patients",10.1016/j.jvsv.2021.09.002
1584,Daily Clinical Practice in the Management of Chronic Urticaria in Spain: Results of the UCREX Study,Angioedema; Autoimmunity; Autoinmunidad; Calidad de vida; Dermatology; Dermatología; Epidemiology; Epidemiología; Quality-of-life; Urticaria,"BACKGROUND: Chronic Urticaria (CU) is a debilitating disease whose treatment is mainly symptomatic. UCREX study aimed to identify CU patients' profile, disease management and quality-of-life (QoL) in daily clinical practice in Spain METHODS: Observational, 12-months prospective, multicenter study, included de novo or established CU patients attending to dermatology/allergy consultations in 39 Spanish hospitals. MAIN VARIABLES: Urticaria Activity Score (UAS), UAS over 7 days (UAS7). Secondary variables: CU-QoL Questionnaire (CU-Q(2)oL), EuroQol-5 dimensions (EQ-5D), Medical Outcomes Study Sleep (MOS-Sleep) scale, Hospital Anxiety and Depression Scale (HADS). RESULTS: 361 patients included. Of them, 176 (48.8%) considered for the main objective analysis. Mean age (SD) of 46.6 (14.2) years and 71.8% women. The year prior to inclusion, most patients (57.1%) were treated with non-sedating H1-antihistamines (NS-H1AH). At baseline, mean (SD) 3.6 (6.8) visits were registered to primary care. Mean (SD) UAS7 at baseline was 14.3 (11.0) and CU-Q(2)oL 24.1 (17.0) which tended to improve by 8.6 (9.7) and 13.9 (15.0), respectively, at 12-months. MOS-Sleep and EQ-5D remained steady during the study, except pain/discomfort and anxiety/depression which went from 58.7% and 49.6% to 29.6% and 26.9%, respectively. At baseline, HADS showed a mean (SD) anxiety of 8.7 (4.5) and depression 5.1 (4.4), decreasing to 7.0 (4.3) and 4.7 (4.3), respectively, at 12-months. CONCLUSIONS: Although most CU patients are treated with NS-H1AH, disease activity is still important, negatively affecting patients' QoL, work activity and healthcare resources use. An appropriate disease management could be the basis for symptoms control, QoL improvement and resources optimization",10.1016/j.ad.2021.06.014
3228,Clinical course of patients with pantothenate kinase-associated neurodegeneration (PKAN) before and after DBS surgery,Adult; Deep Brain Stimulation; Disease Progression; Dystonia/etiology/physiopathology/therapy; Female; Follow-Up Studies; Globus Pallidus; Humans; Male; Pantothenate Kinase-Associated; Severity of Illness Index; Treatment Outcome; Young Adult; Deep brain stimulation; Dystonia; Globus pallidus internus; Pantothenate kinase-associated neurodegeneration,"INTRODUCTION: Pantothenate kinase-associated neurodegeneration (PKAN) is a rare autosomal recessive disorder with a progressive clinical course. In addition to symptomatic therapy, DBS has been increasingly recognized as a potential therapeutic strategy, especially in severe cases. Therefore, we wanted to report our experience regarding benefits of DBS in five PKAN cases in 3-year follow-up study. METHODS: Five genetically confirmed PKAN patients from Serbia underwent GPi-DBS. To assess clinical outcome, we reviewed medical charts and applied: Schwab and England Activities of Daily Living Scale (S&E), EQ-5D questionnaire for quality of life, Patient Global Impression of Improvement (GPI-I), Functional Independence Measure (FIM), Burke-Fahn-Marsden Dystonia Rating Scale (BFMDRS), Barry Albright Dystonia Scale (BAD). Patients were evaluated in five visits: at the disease onset, 5 years after the onset, before surgery, 6 months and 14-36 months after the surgery. Improvement of 20% was accepted as significant RESULTS: Overall, dystonia significantly improved after GPi-DBS at 6 and 14-36 months postoperatively, when assessed by the BFMDRS and BAD. However, two patients failed to improve considerably. Four patients reported improvement on GPI-I, while one remained unchanged. Three patients reported significant improvement, when assessed with S&E and FIM. EQ-5D showed the most prominent improvement in the domains of mobility and pain/discomfort. CONCLUSION: Three out of our five patients experienced beneficial effects of the GPi-DBS, in up to 36 months follow-up. Two patients who had not reached significant improvement had longer disease duration; therefore, it might be reasonable to recommend GPi-DBS as soon as dystonia became disabling",10.1007/s00415-019-09499-3
12462,Economic and quality-of-life impact of seasonal allergic conjunctivitis in Oxfordshire,"Adolescent; Adult; Aged; Aged, 80 and over; Conjunctivitis, Allergic/economics/psychology; Cost of Illness; Drug Therapy; England/epidemiology; Female; Health Care Costs; Health Services Research; Health Status Indicators; Health Surveys; Humans; Male; Middle Aged; Quality of Life; Seasons; Surveys and Questionnaires","PURPOSE: The purpose of this study was to examine the economic and quality-of-life (QoL) impact of seasonal allergic conjunctivitis (SAC) from the individual patient perspective. SETTING: The study population was drawn from the general public of Oxfordshire, England. METHODS: Participants were recruited from either general practices or the casualty department of the Oxford Eye Hospital (OEH). All persons who were between 16 and 80 years of age and English speaking were eligible for enrollment in the study. The inclusion criteria for cases was that participants: 1) experienced itchy, bloodshot and watering eyes at some time between February and August every year since 1999, and 2) considered it likely that this was in response to seasonal allergens. Controls were drawn from the same sources and were age- and sex-matched to cases. Participants completed the EQ-5D Health Questionnaire, the Rhinoconjunctivitis Quality of Life Questionnaire (RQLQ), the National Eye Institute (U.S.) Visual Functioning Questionnaire 25 (VFQ-25), and a specially developed Health Economic and Demographic Questionnaire. RESULTS: Most participants in both groups were female (67.5% in the SAC and 70% in the control group, P=0.565). Weekly earnings were lower in the SAC group (P<0.001), as the SAC group also worked fewer hours per week (P<0.001) Participants with SAC also experienced a greater degree of pain and discomfort as measured by the EQ-5D (P=0.018) and a lower perception of health using the EQ-VAS (P=0.039). Statistically significant differences between both groups were detected in all domains of the VFQ-25, except general and colour vision, although the differences were thought to be clinically significant only for the ocular pain domain. The RQLQ scores were also all found to differ significantly between groups (P<0.001). The total of both the public health care and private out-of-pocket costs of SAC in our study population ranged on average between pound sterling 64.61 for a pensioner to pound sterling 123.69 for a person with SAC in paid employment. CONCLUSIONS: SAC is a costly, highly prevalent, chronic condition associated with significant reductions in both ocular and general quality of life, as well as ongoing out-of-pocket expenses and health care costs Medications that reduce this demand on health care systems and out-of-pocket expenses by patients could be of potential importance in reducing the overall economic and health burden of illness posed by SAC",10.1076/opep.11.1.17.26437
